eprintid,rdmid,record_status
4,784zk-yey40,restricted-duplicate
4,9tbm0-w1170,public
6,v655q-k8f14,restricted-duplicate
6,w44kn-y3562,public
9,399er-yc891,public
9,h11gb-x2g08,restricted-duplicate
11,g2wyk-1s169,public
11,wtc8g-atm11,restricted-duplicate
11,3hy68-m1w60,restricted-duplicate
19,yp8y2-gbg68,restricted-duplicate
20,46y48-k6h60,restricted-duplicate
20,tbbzh-t8v82,public
21,c7tts-g0k33,restricted-duplicate
21,rzp1g-2dg89,public
23,bga4w-8dd25,restricted
23,6rd1h-jzv06,public
23,00fq8-qvd57,restricted-duplicate
23,e5w4c-y4j70,restricted-duplicate
24,qt436-saw79,public
24,ed396-df272,restricted-duplicate
25,me73a-47f87,restricted-duplicate
25,mhgje-qg646,public
27,whec1-45a43,public
27,nwhw3-1n936,restricted-duplicate
29,zvr9b-gqc08,public
29,sevdc-24763,restricted-duplicate
30,fps2w-22495,public
30,5249e-zz833,restricted-duplicate
31,6qy3p-pjz59,public
31,0nmgn-g0w92,restricted-duplicate
32,tm4zb-3f311,public
32,rhz9f-hpn59,restricted-duplicate
34,cqdnd-e7820,public
34,7kyt6-b7007,restricted-duplicate
35,vgx0t-j5982,public
35,6n4ef-nh070,restricted-duplicate
36,dhgtq-eyz02,restricted-duplicate
36,j9x2h-9m680,restricted-duplicate
36,27edb-3vc02,public
36,yxmvg-psp57,restricted
37,8fapc-rs855,restricted-duplicate
37,zev64-8qz94,public
38,a9j98-a1r67,public
38,3s7hz-s3420,restricted-duplicate
39,46m20-qbx89,public
41,2ccjq-t1508,restricted-duplicate
41,4jx81-96r15,public
42,efyd2-3h988,public
42,850mc-nhy75,restricted-duplicate
43,p1y8c-wrw14,public
43,k5fqq-fgh41,restricted-duplicate
44,cd25f-n7r61,restricted-duplicate
44,z9tyy-1wd32,public
45,qk1rv-9ng75,public
45,m92w5-6s250,restricted-duplicate
46,46gc9-rw507,public
46,0qkw7-0qa33,restricted-duplicate
47,07bjb-4gt98,restricted-duplicate
47,t2a32-psw62,public
48,fb91w-csf58,public
48,28sjg-pgp37,restricted-duplicate
49,nhny9-p4y89,public
49,818es-m0d70,restricted-duplicate
50,hnj2t-a8p27,public
50,75rjd-df981,restricted-duplicate
51,0gjas-4sq70,restricted-duplicate
51,w09w0-7z827,public
52,wck4g-ya546,public
52,cvmqw-0d895,restricted-duplicate
54,m0rk7-3y288,restricted-duplicate
54,s9h77-c4t17,public
55,2kv98-y9n09,public
55,1gjvj-wj055,restricted-duplicate
56,ync46-h9953,public
56,3hpvc-45q36,restricted-duplicate
57,7adee-xb763,restricted-duplicate
57,bjvcx-sv533,public
58,nf269-4y436,public
58,8s18a-1nj34,restricted-duplicate
59,6psd9-cft05,restricted-duplicate
59,tmfhc-mnw82,public
60,qmqxq-f5v42,public
60,hdwgs-7v465,restricted-duplicate
61,yya0g-pt451,public
61,fshdg-ehp25,restricted-duplicate
62,q09wm-syv05,public
62,cr1s9-86v87,restricted-duplicate
63,et4e6-r5213,restricted-duplicate
63,j93tn-v3576,restricted
63,1srk4-hvb55,public
63,j0yj1-wds78,restricted-duplicate
64,a0sxv-11v11,restricted-duplicate
64,yaggd-q6380,public
66,4wv6n-xv086,restricted-duplicate
66,y85rs-27w67,public
67,fd7zp-nx776,restricted-duplicate
67,ptjrg-47380,public
68,0xb74-4y548,restricted-duplicate
68,q660w-9tr16,restricted-duplicate
68,ey6y5-xwq86,public
68,jqm5v-qw376,restricted
69,1e3h5-zzx51,restricted-duplicate
69,xt8p4-w8a96,public
71,618kg-c2e44,restricted-duplicate
71,mre2v-y6w91,public
72,ctfcp-cnn03,restricted-duplicate
72,kvyc4-gm704,public
73,x6y7k-3ex12,public
73,18qch-f0562,restricted-duplicate
75,k3yya-ad359,public
75,a6xsy-yz229,restricted-duplicate
76,jgd43-ak973,public
76,hkmxn-wsj86,restricted-duplicate
77,f6vvw-we254,public
77,d38kc-qp566,restricted-duplicate
78,yp0j5-fzp77,public
78,ademp-pqm41,restricted-duplicate
79,gpkng-xg380,public
79,2mq6y-eag50,restricted-duplicate
80,xpdby-p2210,public
80,k2ebt-pwq55,restricted-duplicate
81,0gdpr-gp802,restricted-duplicate
81,r8bv7-jtv92,public
82,f4qvs-qak45,public
82,0nent-8v576,restricted-duplicate
84,fk2br-6h128,restricted-duplicate
84,ygs0h-75m62,public
85,6aac0-gyb47,restricted-duplicate
85,knghh-q2q23,public
86,9hesj-g7a98,public
86,165fp-n5386,restricted-duplicate
87,8b2fw-3eh04,restricted-duplicate
87,h0r2s-fqv17,public
88,6qz20-t3071,restricted-duplicate
88,ss9p4-n1y69,public
89,cqxd0-raj45,restricted-duplicate
89,pxry9-yjw04,public
90,sc3vs-rxr81,public
90,e0q0s-mc275,restricted-duplicate
